# seio [Celsius] East Indian Ocean SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1870 1 -0.293059
1870 2 -0.419023
1870 3 0.0181521
1870 4 0.119398
1870 5 -0.30098
1870 6 -0.373917
1870 7 -0.293737
1870 8 -0.0700036
1870 9 -0.240555
1870 10 -0.207693
1870 11 -0.13796
1870 12 -0.19319
1871 1 -0.0866769
1871 2 -0.115412
1871 3 -0.173689
1871 4 -0.180072
1871 5 -0.265353
1871 6 -0.355031
1871 7 -0.225294
1871 8 -0.20923
1871 9 -0.358939
1871 10 -0.454235
1871 11 -0.151671
1871 12 -0.234395
1872 1 -0.178852
1872 2 -0.068722
1872 3 -0.116265
1872 4 -0.190936
1872 5 -0.0162775
1872 6 0.032076
1872 7 -0.0783491
1872 8 -0.16098
1872 9 -0.117651
1872 10 -0.0813473
1872 11 0.109744
1872 12 -0.161729
1873 1 -0.0954725
1873 2 -0.471902
1873 3 -0.589089
1873 4 -0.309753
1873 5 -0.502936
1873 6 -0.56055
1873 7 -0.53
1873 8 -0.529679
1873 9 -0.215703
1873 10 -0.357823
1873 11 -0.28168
1873 12 -0.377466
1874 1 -0.14079
1874 2 -0.284598
1874 3 -0.193075
1874 4 -0.408871
1874 5 -0.373018
1874 6 -0.313345
1874 7 -0.0403407
1874 8 -0.419511
1874 9 -0.430741
1874 10 -0.755476
1874 11 -0.6928
1874 12 -0.612305
1875 1 -0.319339
1875 2 -0.278174
1875 3 -0.262486
1875 4 -0.27439
1875 5 -0.0719865
1875 6 -0.284204
1875 7 -0.555631
1875 8 -0.35197
1875 9 -0.337877
1875 10 -0.279293
1875 11 -0.28821
1875 12 -0.507769
1876 1 -0.526576
1876 2 -0.522938
1876 3 -0.287073
1876 4 -0.334495
1876 5 -0.35468
1876 6 -0.6234
1876 7 -0.475161
1876 8 -0.347284
1876 9 -0.361765
1876 10 -0.412264
1876 11 -0.54963
1876 12 -0.481624
1877 1 -0.399243
1877 2 0.0694995
1877 3 0.0345563
1877 4 -0.277777
1877 5 -0.44051
1877 6 -0.123223
1877 7 0.0264509
1877 8 0.172922
1877 9 0.488286
1877 10 0.421534
1877 11 0.392405
1877 12 0.417778
1878 1 0.464548
1878 2 0.636809
1878 3 0.624737
1878 4 0.56293
1878 5 0.37296
1878 6 0.373301
1878 7 0.345607
1878 8 0.26352
1878 9 0.058886
1878 10 0.0135237
1878 11 -0.186422
1878 12 -0.0922103
1879 1 -0.0812251
1879 2 -0.197585
1879 3 -0.160494
1879 4 -0.343204
1879 5 -0.276571
1879 6 -0.124751
1879 7 -0.0859985
1879 8 -0.367105
1879 9 -0.301628
1879 10 -0.522533
1879 11 -0.701118
1879 12 -0.663142
1880 1 -0.633915
1880 2 -0.287789
1880 3 -0.230331
1880 4 -0.0540853
1880 5 -0.305556
1880 6 -0.48152
1880 7 -0.281024
1880 8 -0.080849
1880 9 -0.211571
1880 10 -0.345489
1880 11 -0.157302
1880 12 -0.169605
1881 1 -0.298519
1881 2 -0.306135
1881 3 0.0357126
1881 4 0.056968
1881 5 0.257459
1881 6 0.197278
1881 7 0.29642
1881 8 0.281192
1881 9 0.107146
1881 10 -0.0240573
1881 11 -0.151959
1881 12 -0.186753
1882 1 -0.117714
1882 2 -0.117546
1882 3 -0.0247284
1882 4 0.0498126
1882 5 -0.0366991
1882 6 -0.218279
1882 7 -0.166866
1882 8 -0.196416
1882 9 -0.203088
1882 10 -0.175112
1882 11 -0.366831
1882 12 -0.53196
1883 1 -0.184775
1883 2 -0.0530938
1883 3 -0.267132
1883 4 -0.247866
1883 5 -0.210488
1883 6 0.182891
1883 7 0.0407523
1883 8 -0.16169
1883 9 -0.336636
1883 10 -0.352244
1883 11 -0.363302
1883 12 -0.554324
1884 1 -0.595109
1884 2 -0.336577
1884 3 -0.266371
1884 4 -0.0304608
1884 5 0.133321
1884 6 -0.262672
1884 7 0.107723
1884 8 0.0846813
1884 9 0.0642838
1884 10 -0.0257204
1884 11 -0.236739
1884 12 -0.198198
1885 1 -0.213956
1885 2 -0.268154
1885 3 -0.215525
1885 4 -0.227357
1885 5 -0.244222
1885 6 -0.430023
1885 7 -0.434563
1885 8 -0.30807
1885 9 -0.170931
1885 10 -0.158685
1885 11 -0.199126
1885 12 -0.155975
1886 1 -0.158642
1886 2 -0.346849
1886 3 0.0359892
1886 4 0.125585
1886 5 -0.15267
1886 6 -0.324906
1886 7 -0.492699
1886 8 -0.425798
1886 9 -0.516214
1886 10 -0.600689
1886 11 -0.528502
1886 12 -0.716147
1887 1 -0.450063
1887 2 -0.411728
1887 3 -0.328579
1887 4 -0.47312
1887 5 -0.513137
1887 6 -0.447517
1887 7 -0.267724
1887 8 -0.139561
1887 9 -0.562721
1887 10 -0.415474
1887 11 -0.343752
1887 12 -0.476948
1888 1 -0.641189
1888 2 -0.48656
1888 3 -0.505069
1888 4 -0.498725
1888 5 -0.188993
1888 6 -0.32597
1888 7 -0.314744
1888 8 -0.0541037
1888 9 -0.249261
1888 10 0.0326674
1888 11 -0.115376
1888 12 -0.0982213
1889 1 -0.13911
1889 2 0.082146
1889 3 -0.0512686
1889 4 -0.266955
1889 5 -0.0997165
1889 6 -0.268359
1889 7 -0.150667
1889 8 -0.233072
1889 9 -0.355245
1889 10 -0.659973
1889 11 -0.662765
1889 12 -0.527169
1890 1 -0.496714
1890 2 -0.426923
1890 3 -0.234686
1890 4 -0.39619
1890 5 -0.594396
1890 6 -0.844234
1890 7 -0.915143
1890 8 -0.90747
1890 9 -1.02456
1890 10 -0.943421
1890 11 -0.944811
1890 12 -0.655219
1891 1 -0.48128
1891 2 -0.456396
1891 3 -0.389701
1891 4 -0.23007
1891 5 -0.339319
1891 6 -0.223587
1891 7 -0.47779
1891 8 -0.32809
1891 9 -0.270181
1891 10 -0.257388
1891 11 -0.266436
1891 12 -0.106324
1892 1 -0.14551
1892 2 0.00276088
1892 3 -0.159304
1892 4 -0.220563
1892 5 -0.0612163
1892 6 -0.0847735
1892 7 -0.506765
1892 8 -0.660136
1892 9 -0.550856
1892 10 -0.730251
1892 11 -0.683956
1892 12 -0.795415
1893 1 -0.744217
1893 2 -0.724965
1893 3 -0.348014
1893 4 -0.527459
1893 5 -0.542118
1893 6 -0.544099
1893 7 -0.350467
1893 8 -0.481315
1893 9 -0.425951
1893 10 -0.506759
1893 11 -0.540074
1893 12 -0.464853
1894 1 -0.38684
1894 2 -0.337151
1894 3 -0.363547
1894 4 -0.324988
1894 5 -0.44479
1894 6 -0.446518
1894 7 -0.428118
1894 8 -0.363133
1894 9 -0.507943
1894 10 -0.472899
1894 11 -0.491707
1894 12 -0.386555
1895 1 -0.39789
1895 2 -0.25407
1895 3 -0.25151
1895 4 -0.317753
1895 5 -0.317327
1895 6 -0.244943
1895 7 -0.384257
1895 8 -0.0696384
1895 9 -0.138386
1895 10 -0.0853078
1895 11 -0.175052
1895 12 -0.249539
1896 1 -0.102994
