# siod [Celsius] DMI (WIO-SEIO) SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1870 1 -0.257865
1870 2 -0.153674
1870 3 0.340895
1870 4 0.155977
1870 5 -0.258158
1870 6 -0.324162
1870 7 -0.325695
1870 8 -0.205467
1870 9 -0.328262
1870 10 -0.242759
1870 11 -0.130033
1870 12 -0.141895
1871 1 -0.0899836
1871 2 0.0176722
1871 3 -0.03707
1871 4 0.0599647
1871 5 0.10552
1871 6 0.0507168
1871 7 -0.118518
1871 8 -0.0641878
1871 9 0.0680704
1871 10 -0.1367
1871 11 0.0614769
1871 12 0.00208031
1872 1 0.150009
1872 2 0.219504
1872 3 0.0964814
1872 4 0.121847
1872 5 0.0756246
1872 6 0.124299
1872 7 0.0287836
1872 8 -0.0142884
1872 9 0.0605056
1872 10 0.116265
1872 11 0.163578
1872 12 0.109153
1873 1 0.24187
1873 2 -0.131089
1873 3 -0.221649
1873 4 -0.0646663
1873 5 -0.190773
1873 6 -0.365225
1873 7 -0.368898
1873 8 -0.492661
1873 9 -0.292296
1873 10 -0.101244
1873 11 -0.0831137
1873 12 -0.0757532
1874 1 -0.194839
1874 2 -0.19051
1874 3 -0.407591
1874 4 -0.546363
1874 5 -0.210716
1874 6 -0.246174
1874 7 -0.0225409
1874 8 -0.0409853
1874 9 -0.408016
1874 10 -0.753005
1874 11 -0.329487
1874 12 -0.553569
1875 1 -0.252109
1875 2 0.0046913
1875 3 0.0826067
1875 4 0.244489
1875 5 0.0905132
1875 6 0.119474
1875 7 -0.191059
1875 8 0.0607861
1875 9 0.00790104
1875 10 -0.263173
1875 11 -0.617356
1875 12 -0.227412
1876 1 -0.175931
1876 2 -0.319279
1876 3 -0.235955
1876 4 -0.268486
1876 5 -0.241042
1876 6 -0.211245
1876 7 -0.0768229
1876 8 0.0466614
1876 9 0.298644
1876 10 0.168003
1876 11 -0.0824459
1876 12 -0.06517
1877 1 -0.126899
1877 2 0.542841
1877 3 0.297268
1877 4 -0.0879084
