# wio [Celsius] West Indian Ocean SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1870 1 -0.0351939
1870 2 -0.265349
1870 3 -0.322743
1870 4 -0.0365786
1870 5 -0.0428212
1870 6 -0.0497543
1870 7 0.0319582
1870 8 0.135463
1870 9 0.0877075
1870 10 0.0350661
1870 11 -0.00792678
1870 12 -0.0512951
1871 1 0.00330668
1871 2 -0.133084
1871 3 -0.136619
1871 4 -0.240037
1871 5 -0.370874
1871 6 -0.405748
1871 7 -0.106776
1871 8 -0.145042
1871 9 -0.427009
1871 10 -0.317536
1871 11 -0.213147
1871 12 -0.236475
1872 1 -0.328861
1872 2 -0.288226
1872 3 -0.212746
1872 4 -0.312783
1872 5 -0.0919021
1872 6 -0.0922235
1872 7 -0.107133
1872 8 -0.146692
1872 9 -0.178157
1872 10 -0.197612
1872 11 -0.0538338
1872 12 -0.270881
1873 1 -0.337342
1873 2 -0.340813
1873 3 -0.36744
1873 4 -0.245087
1873 5 -0.312163
1873 6 -0.195325
1873 7 -0.161102
1873 8 -0.0370177
1873 9 0.0765927
1873 10 -0.256579
1873 11 -0.198567
1873 12 -0.301713
1874 1 0.0540488
1874 2 -0.094088
1874 3 0.214516
1874 4 0.137493
1874 5 -0.162302
1874 6 -0.0671707
1874 7 -0.0177998
1874 8 -0.378525
1874 9 -0.0227259
1874 10 -0.00247079
1874 11 -0.363313
1874 12 -0.0587369
1875 1 -0.0672306
1875 2 -0.282865
1875 3 -0.345093
1875 4 -0.518879
1875 5 -0.1625
1875 6 -0.403679
1875 7 -0.364572
1875 8 -0.412756
1875 9 -0.345778
1875 10 -0.01612
1875 11 0.329146
1875 12 -0.280357
1876 1 -0.350645
1876 2 -0.203659
1876 3 -0.0511183
1876 4 -0.066009
1876 5 -0.113638
1876 6 -0.412155
1876 7 -0.398338
1876 8 -0.393945
1876 9 -0.660409
1876 10 -0.580267
1876 11 -0.467184
1876 12 -0.416454
1877 1 -0.272344
1877 2 -0.473342
1877 3 -0.262711
1877 4 -0.189869
1877 5 0.0197924
1877 6 0.159029
1877 7 0.296243
1877 8 -0.345598
1877 9 -0.410773
1877 10 -0.371619
1877 11 -0.42415
1877 12 0.0414642
1878 1 0.54027
1878 2 0.852424
1878 3 0.476598
1878 4 0.444981
1878 5 0.508749
1878 6 0.470617
1878 7 0.40556
