# seio [Celsius] East Indian Ocean SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1870 1 -0.293059
1870 2 -0.416493
1870 3 0.0216882
1870 4 0.124107
1870 5 -0.293801
1870 6 -0.366836
1870 7 -0.286013
1870 8 -0.0617529
1870 9 -0.232152
1870 10 -0.19914
1870 11 -0.129499
1870 12 -0.183778
1871 1 -0.0866769
1871 2 -0.112882
1871 3 -0.170153
1871 4 -0.175363
1871 5 -0.258175
1871 6 -0.347951
1871 7 -0.217571
1871 8 -0.200979
1871 9 -0.350536
1871 10 -0.445683
1871 11 -0.14321
1871 12 -0.224983
1872 1 -0.178852
1872 2 -0.0661921
1872 3 -0.112729
1872 4 -0.186227
1872 5 -0.00909929
1872 6 0.0391564
1872 7 -0.0706255
1872 8 -0.152729
1872 9 -0.109249
1872 10 -0.0727946
1872 11 0.118204
1872 12 -0.152317
1873 1 -0.0954725
1873 2 -0.469373
1873 3 -0.585553
1873 4 -0.305044
1873 5 -0.495758
1873 6 -0.55347
1873 7 -0.522276
1873 8 -0.521428
1873 9 -0.207301
1873 10 -0.34927
1873 11 -0.27322
1873 12 -0.368054
1874 1 -0.14079
1874 2 -0.282069
1874 3 -0.189539
1874 4 -0.404162
1874 5 -0.36584
1874 6 -0.306264
1874 7 -0.0326171
1874 8 -0.41126
1874 9 -0.422339
1874 10 -0.746923
1874 11 -0.68434
1874 12 -0.602893
1875 1 -0.319339
1875 2 -0.275644
1875 3 -0.25895
1875 4 -0.269681
1875 5 -0.0648082
1875 6 -0.277124
1875 7 -0.547908
1875 8 -0.343719
1875 9 -0.329475
1875 10 -0.27074
1875 11 -0.279749
1875 12 -0.498357
1876 1 -0.526576
1876 2 -0.520408
1876 3 -0.283537
1876 4 -0.329786
1876 5 -0.347502
1876 6 -0.61632
1876 7 -0.467438
1876 8 -0.339033
1876 9 -0.353363
1876 10 -0.403711
1876 11 -0.54117
1876 12 -0.472212
1877 1 -0.399243
1877 2 0.0720294
1877 3 0.0380924
1877 4 -0.273068
1877 5 -0.433332
1877 6 -0.116143
1877 7 0.0341745
1877 8 0.181172
1877 9 0.496688
1877 10 0.430087
1877 11 0.400865
1877 12 0.42719
1878 1 0.464548
1878 2 0.639339
1878 3 0.628273
1878 4 0.567639
1878 5 0.380138
1878 6 0.380381
1878 7 0.353331
1878 8 0.271771
1878 9 0.0672882
1878 10 0.0220765
1878 11 -0.177962
1878 12 -0.0827982
1879 1 -0.0812251
1879 2 -0.195055
1879 3 -0.156958
1879 4 -0.338495
1879 5 -0.269393
1879 6 -0.117671
1879 7 -0.0782749
1879 8 -0.358854
1879 9 -0.293226
1879 10 -0.51398
1879 11 -0.692658
1879 12 -0.65373
1880 1 -0.633915
1880 2 -0.285259
1880 3 -0.226795
1880 4 -0.0493762
1880 5 -0.298378
1880 6 -0.47444
1880 7 -0.273301
1880 8 -0.0725983
1880 9 -0.203168
1880 10 -0.336937
1880 11 -0.148841
1880 12 -0.160193
1881 1 -0.298519
1881 2 -0.303606
1881 3 0.0392487
1881 4 0.0616771
1881 5 0.264637
1881 6 0.204359
1881 7 0.304143
1881 8 0.289443
1881 9 0.115548
1881 10 -0.0155046
1881 11 -0.143499
1881 12 -0.177341
1882 1 -0.117714
1882 2 -0.115016
1882 3 -0.0211923
1882 4 0.0545217
1882 5 -0.0295208
1882 6 -0.211199
1882 7 -0.159143
1882 8 -0.188165
1882 9 -0.194686
1882 10 -0.166559
1882 11 -0.358371
1882 12 -0.522548
1883 1 -0.184775
1883 2 -0.0505639
1883 3 -0.263596
1883 4 -0.243157
1883 5 -0.20331
1883 6 0.189971
1883 7 0.0484758
1883 8 -0.153439
1883 9 -0.328233
1883 10 -0.343692
1883 11 -0.354841
1883 12 -0.544912
1884 1 -0.595109
1884 2 -0.334047
1884 3 -0.262835
1884 4 -0.0257518
1884 5 0.1405
1884 6 -0.255592
1884 7 0.115447
1884 8 0.0929321
1884 9 0.072686
1884 10 -0.0171677
1884 11 -0.228279
1884 12 -0.188786
1885 1 -0.213956
1885 2 -0.265624
1885 3 -0.211989
1885 4 -0.222648
1885 5 -0.237044
1885 6 -0.422943
1885 7 -0.426839
1885 8 -0.29982
1885 9 -0.162529
1885 10 -0.150132
1885 11 -0.190665
1885 12 -0.146563
1886 1 -0.158642
1886 2 -0.344319
1886 3 0.0395253
1886 4 0.130294
1886 5 -0.145492
1886 6 -0.317826
1886 7 -0.484976
1886 8 -0.417547
1886 9 -0.507811
1886 10 -0.592136
1886 11 -0.520041
1886 12 -0.706735
1887 1 -0.450063
1887 2 -0.409198
1887 3 -0.325043
1887 4 -0.468411
1887 5 -0.505959
1887 6 -0.440436
1887 7 -0.26
1887 8 -0.13131
1887 9 -0.554319
1887 10 -0.406921
1887 11 -0.335291
1887 12 -0.467536
1888 1 -0.641189
1888 2 -0.484031
1888 3 -0.501533
1888 4 -0.494016
1888 5 -0.181815
1888 6 -0.31889
1888 7 -0.307021
1888 8 -0.045853
1888 9 -0.240858
1888 10 0.0412201
1888 11 -0.106916
1888 12 -0.0888092
1889 1 -0.13911
1889 2 0.0846758
