# siod [Celsius] DMI (WIO-SEIO) SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1870 1 -0.257865
1870 2 -0.15478
1870 3 0.340406
1870 4 0.157317
1870 5 -0.254991
1870 6 -0.320709
1870 7 -0.322028
1870 8 -0.199519
1870 9 -0.323595
1870 10 -0.236819
1870 11 -0.125882
1870 12 -0.138503
1871 1 -0.0899836
1871 2 0.0165662
1871 3 -0.0375589
1871 4 0.0613052
1871 5 0.108688
1871 6 0.0541702
1871 7 -0.114851
1871 8 -0.0582398
1871 9 0.0727372
1871 10 -0.13076
1871 11 0.0656273
1871 12 0.00547267
1872 1 0.150009
1872 2 0.218398
1872 3 0.0959925
1872 4 0.123187
1872 5 0.0787923
1872 6 0.127753
1872 7 0.0324508
1872 8 -0.00834042
1872 9 0.0651724
1872 10 0.122205
1872 11 0.167728
1872 12 0.112545
1873 1 0.24187
1873 2 -0.132195
1873 3 -0.222138
1873 4 -0.063326
1873 5 -0.187605
1873 6 -0.361772
1873 7 -0.365231
1873 8 -0.486713
1873 9 -0.287629
1873 10 -0.095304
1873 11 -0.0789633
1873 12 -0.0723608
1874 1 -0.194839
1874 2 -0.191616
1874 3 -0.40808
1874 4 -0.545023
1874 5 -0.207549
1874 6 -0.24272
1874 7 -0.0188737
1874 8 -0.0350374
1874 9 -0.403349
1874 10 -0.747066
1874 11 -0.325337
1874 12 -0.550176
1875 1 -0.252109
1875 2 0.00358525
1875 3 0.0821179
1875 4 0.24583
1875 5 0.0936809
1875 6 0.122928
1875 7 -0.187391
1875 8 0.066734
1875 9 0.0125678
1875 10 -0.257233
1875 11 -0.613206
1875 12 -0.22402
1876 1 -0.175931
1876 2 -0.320385
1876 3 -0.236444
1876 4 -0.267145
1876 5 -0.237874
1876 6 -0.207792
1876 7 -0.0731556
1876 8 0.0526094
1876 9 0.303311
1876 10 0.173943
1876 11 -0.0782953
1876 12 -0.0617777
1877 1 -0.126899
1877 2 0.541735
1877 3 0.296779
1877 4 -0.086568
1877 5 -0.457135
1877 6 -0.278799
1877 7 -0.266125
1877 8 0.524468
1877 9 0.903725
1877 10 0.799093
1877 11 0.820706
1877 12 0.379706
1878 1 -0.0757225
1878 2 -0.216721
1878 3 0.14765
1878 4 0.119289
1878 5 -0.132622
1878 6 -0.0938627
1878 7 -0.0562855
1878 8 0.0351414
1878 9 0.180207
1878 10 -0.281151
1878 11 -0.179325
1878 12 -0.2307
1879 1 -0.23115
1879 2 -0.222838
1879 3 -0.27581
1879 4 -0.330827
1879 5 -0.278824
1879 6 -0.0617711
1879 7 -0.0377606
1879 8 -0.320216
1879 9 -0.195771
1879 10 -0.383828
1879 11 -0.476869
1879 12 -0.36628
1880 1 -0.264282
1880 2 -0.0685548
1880 3 -0.151212
1880 4 0.208017
1880 5 0.0896652
1880 6 -0.0832631
1880 7 -0.202118
1880 8 -0.266657
1880 9 -0.160124
1880 10 -0.352847
1880 11 -0.268522
1880 12 -0.107401
1881 1 0.0289155
1881 2 -0.314739
1881 3 -0.177518
1881 4 -0.249943
1881 5 0.0886524
1881 6 0.386734
1881 7 0.192648
1881 8 0.234253
1881 9 0.0886916
1881 10 -0.0583611
1881 11 -0.0854116
1881 12 -0.256327
1882 1 -0.365481
1882 2 -0.47763
1882 3 0.0217475
1882 4 0.062349
1882 5 0.152768
1882 6 0.142228
1882 7 0.0912401
1882 8 -0.183032
1882 9 -0.247153
1882 10 -0.116891
1882 11 -0.090831
1882 12 -0.185363
1883 1 -0.513947
1883 2 -0.0200651
1883 3 -0.13143
1883 4 0.0887368
1883 5 0.0296648
1883 6 0.130932
1883 7 0.0422542
1883 8 0.186058
1883 9 -0.110607
1883 10 0.034233
1883 11 -0.0734136
1883 12 -0.0880315
1884 1 -0.213832
1884 2 0.00893977
1884 3 -0.145781
1884 4 0.286157
1884 5 0.470078
1884 6 0.0173687
1884 7 0.314741
1884 8 0.0042269
1884 9 -0.0782325
1884 10 0.0330689
1884 11 -0.193567
1884 12 -0.179927
1885 1 -0.280614
1885 2 0.108188
1885 3 -0.00131214
1885 4 0.00209086
1885 5 0.0194733
1885 6 0.0901612
1885 7 0.10457
1885 8 0.089103
1885 9 0.0493352
1885 10 0.162957
1885 11 -0.196026
1885 12 -0.160736
1886 1 -0.422998
1886 2 -0.574214
1886 3 -0.287684
1886 4 -0.068388
1886 5 -0.216202
1886 6 -0.135145
1886 7 -0.402102
1886 8 -0.597085
1886 9 -0.580894
1886 10 -0.492494
1886 11 -0.402312
1886 12 -0.31881
1887 1 -0.271024
1887 2 -0.193153
1887 3 -0.101696
1887 4 -0.04375
1887 5 -0.0515314
1887 6 0.0539877
1887 7 0.0947975
1887 8 0.300795
1887 9 0.109367
1887 10 -0.116164
1887 11 -0.00472671
1887 12 -0.0583034
1888 1 -0.149934
1888 2 -0.416977
1888 3 -0.553629
1888 4 -0.640436
1888 5 -0.269355
1888 6 -0.206034
1888 7 -0.130516
1888 8 -0.0538955
1888 9 -0.125232
1888 10 -0.0430388
1888 11 -0.280613
1888 12 -0.218476
1889 1 -0.482615
1889 2 -0.062518
1889 3 -0.486637
1889 4 -0.610564
1889 5 -0.432065
1889 6 -0.338577
1889 7 -0.189526
1889 8 -0.340553
1889 9 -0.514582
1889 10 -0.736814
1889 11 -0.579412
1889 12 -0.163481
1890 1 0.0956718
1890 2 0.130257
1890 3 -0.0315776
1890 4 -0.00401407
1890 5 -0.108841
1890 6 -0.542257
1890 7 -0.58473
1890 8 -0.374765
1890 9 -0.669935
1890 10 -0.759785
1890 11 -0.616005
1890 12 -0.334192
1891 1 -0.121882
1891 2 -0.390529
1891 3 -0.442901
1891 4 -0.0852914
1891 5 -0.102148
1891 6 0.116722
1891 7 0.0222486
1891 8 0.304632
1891 9 0.323054
1891 10 0.27671
1891 11 0.145946
1891 12 0.292804
1892 1 -0.0524459
1892 2 -0.134329
1892 3 -0.0280147
1892 4 -0.106336
1892 5 -0.0500053
1892 6 -0.266572
1892 7 -0.323058
1892 8 -0.723115
1892 9 -0.770785
1892 10 -0.418766
1892 11 -0.165056
1892 12 -0.25911
1893 1 -0.248905
1893 2 -0.268839
1893 3 -0.234899
1893 4 -0.36856
1893 5 -0.283162
1893 6 -0.297004
1893 7 -0.224499
1893 8 -0.433545
1893 9 -0.283193
1893 10 -0.38906
1893 11 -0.224111
1893 12 -0.126793
1894 1 0.119047
1894 2 -0.0677483
1894 3 -0.0892545
