# Warm Water Volume (m**3,5N-5S,120E-80W)
# TAO Project Office/NOAA/PMEL/Seattle
# http://www.pmel.noaa.gov/tao/
# Michael J. McPhaden, Director
# 
# <a href="http://www.pmel.noaa.gov/tao/elnino/wwv/data/wwv.dat">source</a>
# WWV [m^3] Warm Water Volume 5N-5S, 120E-80W
198001 0.2605404E+16
198002 0.2564434E+16
198003 0.2514065E+16
198004 0.2468250E+16
198005 0.2439852E+16
198006 0.2424722E+16
198007 0.2423295E+16
198008 0.2443604E+16
198009 0.2497698E+16
198010 0.2566956E+16
198011 0.2621343E+16
198012 0.2623023E+16
198101 0.2576040E+16
198102 0.2559533E+16
198103 0.2557277E+16
198104 0.2502153E+16
198105 0.2438036E+16
198106 0.2390536E+16
198107 0.2386925E+16
198108 0.2431289E+16
198109 0.2478905E+16
198110 0.2514995E+16
198111 0.2548837E+16
198112 0.2581163E+16
198201 0.2599254E+16
198202 0.2575204E+16
198203 0.2542435E+16
198204 0.2529230E+16
198205 0.2504609E+16
198206 0.2463242E+16
198207 0.2454411E+16
198208 0.2518700E+16
198209 0.2604845E+16
198210 0.2646047E+16
198211 0.2654919E+16
198212 0.2626871E+16
198301 0.2526509E+16
198302 0.2448249E+16
198303 0.2423759E+16
198304 0.2390321E+16
198305 0.2342143E+16
198306 0.2284675E+16
198307 0.2249621E+16
198308 0.2258997E+16
198309 0.2255998E+16
198310 0.2232468E+16
198311 0.2271716E+16
198312 0.2332108E+16
198401 0.2348520E+16
198402 0.2348944E+16
198403 0.2342027E+16
198404 0.2310519E+16
198405 0.2268976E+16
198406 0.2250153E+16
198407 0.2260530E+16
198408 0.2302695E+16
198409 0.2344288E+16
198410 0.2388159E+16
198411 0.2455483E+16
198412 0.2487950E+16
198501 0.2483845E+16
198502 0.2477009E+16
198503 0.2465358E+16
198504 0.2450640E+16
198505 0.2431770E+16
198506 0.2419480E+16
198507 0.2424329E+16
198508 0.2445586E+16
198509 0.2475940E+16
198510 0.2519580E+16
198511 0.2572301E+16
198512 0.2588258E+16
198601 0.2563317E+16
198602 0.2538062E+16
198603 0.2505328E+16
198604 0.2478123E+16
198605 0.2476218E+16
198606 0.2476150E+16
198607 0.2471204E+16
198608 0.2480367E+16
