# wio [Celsius] West Indian Ocean SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1870 1 -0.0351939
1870 2 -0.261713
1870 3 -0.318718
1870 4 -0.0332099
1870 5 -0.0388107
1870 6 -0.0461273
1870 7 0.0360145
1870 8 0.137766
1870 9 0.0914429
1870 10 0.0376792
1870 11 -0.00361675
1870 12 -0.0452755
1871 1 0.00330668
1871 2 -0.129448
1871 3 -0.132594
1871 4 -0.236668
1871 5 -0.366863
1871 6 -0.402121
1871 7 -0.10272
1871 8 -0.14274
1871 9 -0.423274
1871 10 -0.314923
1871 11 -0.208837
1871 12 -0.230455
1872 1 -0.328861
1872 2 -0.28459
1872 3 -0.208721
1872 4 -0.309414
1872 5 -0.0878916
1872 6 -0.0885964
1872 7 -0.103076
1872 8 -0.144389
1872 9 -0.174422
1872 10 -0.194999
1872 11 -0.0495238
1872 12 -0.264862
1873 1 -0.337342
1873 2 -0.337177
1873 3 -0.363415
1873 4 -0.241718
1873 5 -0.308153
1873 6 -0.191698
1873 7 -0.157046
1873 8 -0.034715
1873 9 0.0803281
1873 10 -0.253966
1873 11 -0.194257
1873 12 -0.295693
1874 1 0.0540488
1874 2 -0.0904522
1874 3 0.218541
1874 4 0.140861
1874 5 -0.158292
1874 6 -0.0635437
1874 7 -0.0137435
1874 8 -0.376223
1874 9 -0.0189904
1874 10 0.000142319
1874 11 -0.359003
1874 12 -0.0527173
1875 1 -0.0672306
1875 2 -0.27923
1875 3 -0.341068
1875 4 -0.51551
1875 5 -0.158489
1875 6 -0.400052
1875 7 -0.360516
1875 8 -0.410453
1875 9 -0.342042
1875 10 -0.0135069
1875 11 0.333456
1875 12 -0.274338
1876 1 -0.350645
1876 2 -0.200023
1876 3 -0.0470933
1876 4 -0.0626403
1876 5 -0.109628
1876 6 -0.408528
1876 7 -0.394282
1876 8 -0.391642
1876 9 -0.656674
1876 10 -0.577654
1876 11 -0.462874
1876 12 -0.410435
1877 1 -0.272344
1877 2 -0.469706
1877 3 -0.258686
1877 4 -0.1865
1877 5 0.0238029
1877 6 0.162656
1877 7 0.3003
1877 8 -0.343296
1877 9 -0.407037
1877 10 -0.369006
1877 11 -0.41984
1877 12 0.0474838
1878 1 0.54027
1878 2 0.85606
1878 3 0.480623
1878 4 0.44835
1878 5 0.51276
1878 6 0.474244
1878 7 0.409616
1878 8 0.23663
1878 9 -0.112919
1878 10 0.303227
1878 11 0.00136292
1878 12 0.147901
1879 1 0.149925
1879 2 0.0277838
1879 3 0.118852
1879 4 -0.0076679
1879 5 0.00943133
1879 6 -0.0558994
1879 7 -0.0405143
1879 8 -0.038638
1879 9 -0.0974554
1879 10 -0.130152
1879 11 -0.215789
1879 12 -0.28745
1880 1 -0.369633
1880 2 -0.216704
1880 3 -0.075583
1880 4 -0.257393
1880 5 -0.388043
1880 6 -0.391177
1880 7 -0.0711829
1880 8 0.194059
1880 9 -0.0430442
1880 10 0.0159104
1880 11 0.119681
1880 12 -0.0527921
1881 1 -0.327434
1881 2 0.0111336
1881 3 0.216767
1881 4 0.311621
1881 5 0.175984
1881 6 -0.182375
1881 7 0.111495
1881 8 0.0551893
1881 9 0.0268567
1881 10 0.0428566
1881 11 -0.0580872
1881 12 0.0789858
1882 1 0.247766
1882 2 0.362614
1882 3 -0.0429398
1882 4 -0.00782737
1882 5 -0.182289
1882 6 -0.353427
1882 7 -0.250383
1882 8 -0.00513285
1882 9 0.0524678
1882 10 -0.0496677
1882 11 -0.26754
1882 12 -0.337185
1883 1 0.329172
1883 2 -0.0304988
1883 3 -0.132166
1883 4 -0.331894
1883 5 -0.232975
1883 6 0.0590389
1883 7 0.00622167
1883 8 -0.339497
1883 9 -0.217626
1883 10 -0.377925
1883 11 -0.281428
1883 12 -0.45688
1884 1 -0.381278
1884 2 -0.342987
1884 3 -0.117054
1884 4 -0.311909
1884 5 -0.329578
1884 6 -0.272961
1884 7 -0.199295
1884 8 0.0887052
1884 9 0.150918
1884 10 -0.0502365
1884 11 -0.0347121
1884 12 -0.00885909
1885 1 0.0666575
1885 2 -0.373813
1885 3 -0.210676
1885 4 -0.224739
1885 5 -0.256517
